observation_date,GDPC1
1985-01-01,8400.820
1985-04-01,8474.787
1985-07-01,8604.220
1985-10-01,8668.188
1986-01-01,8749.127
1986-04-01,8788.524
1986-07-01,8872.601
1986-10-01,8920.193
1987-01-01,8986.367
1987-04-01,9083.256
1987-07-01,9162.024
1987-10-01,9319.332
1988-01-01,9367.502
1988-04-01,9490.594
1988-07-01,9546.206
1988-10-01,9673.405
1989-01-01,9771.725
1989-04-01,9846.293
1989-07-01,9919.228
1989-10-01,9938.767
1990-01-01,10047.386
1990-04-01,10083.855
1990-07-01,10090.569
1990-10-01,9998.704
1991-01-01,9951.916
1991-04-01,10029.510
1991-07-01,10080.195
1991-10-01,10115.329
1992-01-01,10236.435
1992-04-01,10347.429
1992-07-01,10449.673
1992-10-01,10558.648
1993-01-01,10576.275
1993-04-01,10637.847
1993-07-01,10688.606
1993-10-01,10833.987
1994-01-01,10939.116
1994-04-01,11087.361
1994-07-01,11152.176
1994-10-01,11279.932
1995-01-01,11319.951
1995-04-01,11353.721
1995-07-01,11450.310
1995-10-01,11528.067
1996-01-01,11614.418
1996-04-01,11808.140
1996-07-01,11914.063
1996-10-01,12037.775
1997-01-01,12115.472
1997-04-01,12317.221
1997-07-01,12471.010
1997-10-01,12577.495
1998-01-01,12703.742
1998-04-01,12821.339
1998-07-01,12982.752
1998-10-01,13191.670
1999-01-01,13315.597
1999-04-01,13426.748
1999-07-01,13604.771
1999-10-01,13827.980
2000-01-01,13878.147
2000-04-01,14130.908
2000-07-01,14145.312
2000-10-01,14229.765
2001-01-01,14183.120
2001-04-01,14271.694
2001-07-01,14214.516
2001-10-01,14253.574
2002-01-01,14372.785
2002-04-01,14460.848
2002-07-01,14519.633
2002-10-01,14537.580
2003-01-01,14614.141
2003-04-01,14743.567
2003-07-01,14988.782
2003-10-01,15162.760
2004-01-01,15248.680
2004-04-01,15366.850
2004-07-01,15512.619
2004-10-01,15670.880
2005-01-01,15844.727
2005-04-01,15922.782
2005-07-01,16047.587
2005-10-01,16136.734
2006-01-01,16353.835
2006-04-01,16396.151
2006-07-01,16420.738
2006-10-01,16561.866
